Prueba,Alcance o Purview (t+1),Mecanismo(t),k,Método,Partición,Pérdida,Tiempo
1,1111111111,1111111111,3,exacto,"| ⎛   B,C,D,E,G,H,I,J   ⎞ | ⎛ F ⎞ | ⎛ A ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.19733193516731262,0.44417452812194824
2,1111111111,1111111110,3,exacto,"| ⎛  A,C,D,E,G,H,I,J  ⎞ | ⎛ F ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.018421977758407593,0.18384027481079102
3,1111111111,0111111111,3,exacto,"| ⎛  C,D,E,F,G,H,I,J  ⎞ | ⎛ A ⎞ | ⎛ B ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.09636962413787842,0.1753826141357422
4,1111111111,0111111110,3,exacto,"| ⎛ A,B,D,E,F,G,H,J ⎞ | ⎛ C ⎞ | ⎛ I ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.020086735486984253,0.07604169845581055
5,1111111111,1101101101,3,exacto,"| ⎛ A,B,D,E,F,G,I,J ⎞ | ⎛ C ⎞ | ⎛ H ⎞ |
| ⎝  a,b,d,e,g,h,j  ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.015096515417098999,0.035227298736572266
6,1111111111,1010101010,3,exacto,"| ⎛ A,B,E,F,G,H,I,J ⎞ | ⎛ D ⎞ | ⎛ C ⎞ |
| ⎝    a,c,e,g,i    ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.0029161572456359863,0.01091456413269043
7,1111111111,0101010101,3,exacto,"| ⎛ A,B,D,F,G,H,I,J ⎞ | ⎛ C ⎞ | ⎛ E ⎞ |
| ⎝    b,d,f,h,j    ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.03760427236557007,0.010401248931884766
8,1111111110,1111111111,3,exacto,"| ⎛    B,C,D,E,G,H,I    ⎞ | ⎛ F ⎞ | ⎛ A ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.19733193516731262,0.40241384506225586
9,1111111110,1111111110,3,exacto,"| ⎛   A,C,D,E,G,H,I   ⎞ | ⎛ F ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.018421977758407593,0.15897750854492188
10,1111111110,0111111111,3,exacto,"| ⎛   C,D,E,F,G,H,I   ⎞ | ⎛ A ⎞ | ⎛ B ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.09636962413787842,0.15959501266479492
11,1111111110,0111111110,3,exacto,"| ⎛  A,B,D,E,F,G,H  ⎞ | ⎛ C ⎞ | ⎛ I ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.020086735486984253,0.06810379028320312
