Prueba,Alcance o Purview (t+1),Mecanismo(t),k,Método,Partición,Pérdida,Tiempo
1,1111111111,1111111111,2,exacto,"| ⎛  A,B,C,D,E,G,H,I,J  ⎞ | ⎛ F ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.09846800565719604,0.21175074577331543
2,1111111111,1111111110,2,exacto,"| ⎛ A,B,C,D,E,G,H,I,J ⎞ | ⎛ F ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.008063524961471558,0.10225558280944824
3,1111111111,0111111111,2,exacto,"| ⎛ B,C,D,E,F,G,H,I,J ⎞ | ⎛ A ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.020439445972442627,0.10200667381286621
4,1111111111,0111111110,2,exacto,"| ⎛ A,B,D,E,F,G,H,I,J ⎞ | ⎛ C ⎞ |
| ⎝  b,c,d,e,f,g,h,i  ⎠ | ⎝ ∅ ⎠ |
",0.0016728639602661133,0.052674293518066406
5,1111111111,1101101101,2,exacto,"| ⎛ A,B,D,E,F,G,H,I,J ⎞ | ⎛ C ⎞ |
| ⎝   a,b,d,e,g,h,j   ⎠ | ⎝ ∅ ⎠ |
",0.006891012191772461,0.02897477149963379
6,1111111111,1010101010,2,exacto,"| ⎛ A,B,C,E,F,G,H,I,J ⎞ | ⎛ D ⎞ |
| ⎝     a,c,e,g,i     ⎠ | ⎝ ∅ ⎠ |
",0.00029075145721435547,0.012639045715332031
7,1111111111,0101010101,2,exacto,"| ⎛ A,B,D,E,F,G,H,I,J ⎞ | ⎛ C ⎞ |
| ⎝     b,d,f,h,j     ⎠ | ⎝ ∅ ⎠ |
",0.009392797946929932,0.010092496871948242
8,1111111110,1111111111,2,exacto,"| ⎛   A,B,C,D,E,G,H,I   ⎞ | ⎛ F ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.09846800565719604,0.19053101539611816
9,1111111110,1111111110,2,exacto,"| ⎛  A,B,C,D,E,G,H,I  ⎞ | ⎛ F ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ |
",0.008063524961471558,0.09131789207458496
10,1111111110,0111111111,2,exacto,"| ⎛  B,C,D,E,F,G,H,I  ⎞ | ⎛ A ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ |
",0.020439445972442627,0.0914158821105957
