Prueba,Alcance o Purview (t+1),Mecanismo(t),k,Método,Partición,Pérdida,Tiempo
1,1111111111,1111111111,4,exacto,"| ⎛    C,D,E,G,H,I,J    ⎞ | ⎛ F ⎞ | ⎛ A ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.30235162377357483,1.5202462673187256
2,1111111111,1111111110,4,exacto,"| ⎛   A,D,E,G,H,I,J   ⎞ | ⎛ F ⎞ | ⎛ B ⎞ | ⎛ C ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.05228272080421448,0.4651679992675781
3,1111111111,0111111111,4,exacto,"| ⎛   C,D,E,G,H,I,J   ⎞ | ⎛ A ⎞ | ⎛ B ⎞ | ⎛ F ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.1850024163722992,0.4382443428039551
4,1111111111,0111111110,4,exacto,"| ⎛  B,D,E,F,G,H,J  ⎞ | ⎛ C ⎞ | ⎛ I ⎞ | ⎛ A ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.04104074835777283,0.13244152069091797
5,1111111111,1101101101,4,exacto,"| ⎛ A,B,D,E,G,I,J ⎞ | ⎛ C ⎞ | ⎛ H ⎞ | ⎛ F ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.02610945701599121,0.047873497009277344
6,1111111111,1010101010,4,exacto,"| ⎛ A,B,E,G,H,I,J ⎞ | ⎛ D ⎞ | ⎛ C ⎞ | ⎛ F ⎞ |
| ⎝   a,c,e,g,i   ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.00877729058265686,0.011000633239746094
7,1111111111,0101010101,4,exacto,"| ⎛ A,D,F,G,H,I,J ⎞ | ⎛ C ⎞ | ⎛ E ⎞ | ⎛ B ⎞ |
| ⎝   b,d,f,h,j   ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.06978744268417358,0.011140823364257812
8,1111111110,1111111111,4,exacto,"| ⎛     C,D,E,G,H,I     ⎞ | ⎛ F ⎞ | ⎛ A ⎞ | ⎛ B ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.30235162377357483,1.43896484375
9,1111111110,1111111110,4,exacto,"| ⎛    A,D,E,G,H,I    ⎞ | ⎛ F ⎞ | ⎛ B ⎞ | ⎛ C ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.05228272080421448,0.3973805904388428
10,1111111110,0111111111,4,exacto,"| ⎛    C,D,E,G,H,I    ⎞ | ⎛ A ⎞ | ⎛ B ⎞ | ⎛ F ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.1850024163722992,0.3925321102142334
11,1111111110,0111111110,4,exacto,"| ⎛   B,D,E,F,G,H   ⎞ | ⎛ C ⎞ | ⎛ I ⎞ | ⎛ A ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.04104074835777283,0.12263131141662598
12,1111111110,1101101101,4,exacto,"| ⎛  A,B,D,E,G,I  ⎞ | ⎛ C ⎞ | ⎛ H ⎞ | ⎛ F ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.02610945701599121,0.04386496543884277
13,1111111110,1010101010,4,exacto,"| ⎛ A,B,E,G,H,I ⎞ | ⎛ D ⎞ | ⎛ C ⎞ | ⎛ F ⎞ |
| ⎝  a,c,e,g,i  ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.00877729058265686,0.009890317916870117
14,1111111110,0101010101,4,exacto,"| ⎛ A,D,F,G,H,I ⎞ | ⎛ C ⎞ | ⎛ E ⎞ | ⎛ B ⎞ |
| ⎝  b,d,f,h,j  ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.06978744268417358,0.010424613952636719
15,0111111111,1111111111,4,exacto,"| ⎛     C,D,E,H,I,J     ⎞ | ⎛ F ⎞ | ⎛ B ⎞ | ⎛ G ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.45341190695762634,1.3840067386627197
16,0111111111,1111111110,4,exacto,"| ⎛    D,E,G,H,I,J    ⎞ | ⎛ F ⎞ | ⎛ B ⎞ | ⎛ C ⎞ |
| ⎝ a,b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.05228272080421448,3.3807828426361084
17,0111111111,0111111111,4,exacto,"| ⎛    D,E,G,H,I,J    ⎞ | ⎛ B ⎞ | ⎛ F ⎞ | ⎛ C ⎞ |
| ⎝ b,c,d,e,f,g,h,i,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.28687864542007446,0.38898229598999023
18,0111111111,0111111110,4,exacto,"| ⎛   B,D,E,F,G,J   ⎞ | ⎛ C ⎞ | ⎛ I ⎞ | ⎛ H ⎞ |
| ⎝ b,c,d,e,f,g,h,i ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.06520876288414001,0.1205897331237793
19,0111111111,1101101101,4,exacto,"| ⎛  B,D,E,G,I,J  ⎞ | ⎛ C ⎞ | ⎛ H ⎞ | ⎛ F ⎞ |
| ⎝ a,b,d,e,g,h,j ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.02610945701599121,0.04475760459899902
20,0111111111,1010101010,4,exacto,"| ⎛ B,E,G,H,I,J ⎞ | ⎛ D ⎞ | ⎛ C ⎞ | ⎛ F ⎞ |
| ⎝  a,c,e,g,i  ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.00877729058265686,0.010472774505615234
21,0111111111,0101010101,4,exacto,"| ⎛ D,F,G,H,I,J ⎞ | ⎛ C ⎞ | ⎛ E ⎞ | ⎛ B ⎞ |
| ⎝  b,d,f,h,j  ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ | ⎝ ∅ ⎠ |
",0.06978744268417358,0.01039576530456543
