Prueba,Alcance o Purview (t+1),Mecanismo(t),k,Método,Partición,Pérdida,Tiempo
1,1111111111,1111111111,5,exacto,"| ∅ | B,C,D,E,F,G,J | A | I | H |
| i | a,b,c,d,e,f,g,h,j | ∅ | ∅ | ∅ |
",1.46484375,2.3411552906036377
2,1111111111,1111111110,5,exacto,"| B,D,E,F,H,I | G | J | A | C |
| a,b,c,d,e,f,g,h,i | ∅ | ∅ | ∅ | ∅ |
",0.0498046875,0.5196340084075928
3,1111111111,0111111111,5,exacto,"| A,C,D,E,I,J | G | F | B | H |
| b,c,d,e,f,g,h,i,j | ∅ | ∅ | ∅ | ∅ |
",0.03515625,0.5146298408508301
4,1111111111,0111111110,5,exacto,"| C,D,E,F,G,J | B | H | A | I |
| b,c,d,e,f,g,h,i | ∅ | ∅ | ∅ | ∅ |
",0.0703125,0.12900280952453613
5,1111111111,1101101101,5,exacto,"| B,D,E,F,G,H | J | C | I | A |
| a,b,d,e,g,h,j | ∅ | ∅ | ∅ | ∅ |
",0.158203125,0.03815650939941406
6,1111111111,1010101010,5,exacto,"| B,C,D,G,H,I | E | F | J | A |
| a,c,e,g,i | ∅ | ∅ | ∅ | ∅ |
",0.1279296875,0.007067203521728516
7,1111111111,0101010101,5,exacto,"| B,D,E,G,H,J | I | C | A | F |
| b,d,f,h,j | ∅ | ∅ | ∅ | ∅ |
",0.0595703125,0.006927013397216797
8,1111111110,1111111111,5,exacto,"| ∅ | B,C,D,E,F,G | A | I | H |
| i | a,b,c,d,e,f,g,h,j | ∅ | ∅ | ∅ |
",1.46484375,2.1261236667633057
9,1111111110,1111111110,5,exacto,"| B,D,E,F,H | G | A | C | I |
| a,b,c,d,e,f,g,h,i | ∅ | ∅ | ∅ | ∅ |
",0.0712890625,0.46952271461486816
10,1111111110,0111111111,5,exacto,"| A,C,D,E,I | G | F | B | H |
| b,c,d,e,f,g,h,i,j | ∅ | ∅ | ∅ | ∅ |
",0.03515625,0.47383689880371094
11,1111111110,0111111110,5,exacto,"| C,D,E,F,G | B | H | A | I |
| b,c,d,e,f,g,h,i | ∅ | ∅ | ∅ | ∅ |
",0.0703125,0.11745238304138184
12,1111111110,1101101101,5,exacto,"| B,D,F,G,H | C | I | A | E |
| a,b,d,e,g,h,j | ∅ | ∅ | ∅ | ∅ |
",0.26171875,0.035099029541015625
13,1111111110,1010101010,5,exacto,"| C,D,G,H,I | E | F | A | B |
| a,c,e,g,i | ∅ | ∅ | ∅ | ∅ |
",0.1650390625,0.0065021514892578125
14,1111111110,0101010101,5,exacto,"| B,D,E,G,H | I | C | A | F |
| b,d,f,h,j | ∅ | ∅ | ∅ | ∅ |
",0.0595703125,0.0064623355865478516
15,0111111111,1111111111,5,exacto,"| ∅ | B,D,E,F,G,J | I | H | C |
| i | a,b,c,d,e,f,g,h,j | ∅ | ∅ | ∅ |
",1.46484375,2.122833728790283
16,0111111111,1111111110,5,exacto,"| B,D,E,F,H | G | J | C | I |
| a,b,c,d,e,f,g,h,i | ∅ | ∅ | ∅ | ∅ |
",0.0576171875,0.47115302085876465
17,0111111111,0111111111,5,exacto,"| C,D,E,I,J | G | F | B | H |
| b,c,d,e,f,g,h,i,j | ∅ | ∅ | ∅ | ∅ |
",0.03515625,0.46724820137023926
18,0111111111,0111111110,5,exacto,"| D,E,F,G,J | B | H | I | C |
| b,c,d,e,f,g,h,i | ∅ | ∅ | ∅ | ∅ |
",0.28125,0.11714863777160645
19,0111111111,1101101101,5,exacto,"| B,D,F,G,H | J | C | I | E |
| a,b,d,e,g,h,j | ∅ | ∅ | ∅ | ∅ |
",0.162109375,0.0350344181060791
20,0111111111,1010101010,5,exacto,"| C,D,G,H,I | E | F | J | B |
| a,c,e,g,i | ∅ | ∅ | ∅ | ∅ |
",0.1513671875,0.006667613983154297
