Prueba,Alcance o Purview (t+1),Mecanismo(t),Partición,Pérdida,Tiempo
1,1111111111,1111111111,"| I || A,B,C,D,E,F,G,H,J |
| ∅ || a,b,c,d,e,f,g,h,i,j |
",0.48046875,0.7822535037994385
2,1111111111,1111111110,"| G || A,B,C,D,E,F,H,I,J |
| ∅ || a,b,c,d,e,f,g,h,i |
",0.005859375,0.5739471912384033
3,1111111111,0111111111,"| G || A,B,C,D,E,F,H,I,J |
| ∅ || b,c,d,e,f,g,h,i,j |
",0.0068359375,0.5307505130767822
4,1111111111,0111111110,"| H || A,B,C,D,E,F,G,I,J |
| ∅ || b,c,d,e,f,g,h,i |
",0.01171875,0.44271326065063477
5,1111111111,1101101101,"| J || A,B,C,D,E,F,G,H,I |
| ∅ || a,b,d,e,g,h,j |
",0.01953125,0.3709549903869629
6,1111111111,1010101010,"| E || A,B,C,D,F,G,H,I,J |
| ∅ || a,c,e,g,i |
",0.024414062,0.261127233505249
7,1111111111,0101010101,"| I || A,B,C,D,E,F,G,H,J |
| ∅ || b,d,f,h,j |
",0.01171875,0.258436918258667
8,1111111110,1111111111,"| I || A,B,C,D,E,F,G,H |
| ∅ || a,b,c,d,e,f,g,h,i,j |
",0.48046875,0.5657696723937988
9,1111111110,1111111110,"| G || A,B,C,D,E,F,H,I |
| ∅ || a,b,c,d,e,f,g,h,i |
",0.01953125,0.5190577507019043
10,1111111110,0111111111,"| G || A,B,C,D,E,F,H,I |
| ∅ || b,c,d,e,f,g,h,i,j |
",0.0068359375,0.39159703254699707
11,1111111110,0111111110,"| H || A,B,C,D,E,F,G,I |
| ∅ || b,c,d,e,f,g,h,i |
",0.01171875,0.3521764278411865
12,1111111110,1101101101,"| C || A,B,D,E,F,G,H,I |
| ∅ || a,b,d,e,g,h,j |
",0.02734375,0.29845523834228516
13,1111111110,1010101010,"| E || A,B,C,D,F,G,H,I |
| ∅ || a,c,e,g,i |
",0.024414062,0.19154810905456543
14,1111111110,0101010101,"| I || A,B,C,D,E,F,G,H |
| ∅ || b,d,f,h,j |
",0.01171875,0.1926882266998291
15,0111111111,1111111111,"| I || B,C,D,E,F,G,H,J |
| ∅ || a,b,c,d,e,f,g,h,i,j |
",0.48046875,0.5895569324493408
16,0111111111,1111111110,"| G || B,C,D,E,F,H,I,J |
| ∅ || a,b,c,d,e,f,g,h,i |
",0.005859375,0.46305370330810547
17,0111111111,0111111111,"| G || B,C,D,E,F,H,I,J |
| ∅ || b,c,d,e,f,g,h,i,j |
",0.0068359375,0.45015859603881836
18,0111111111,0111111110,"| H || B,C,D,E,F,G,I,J |
| ∅ || b,c,d,e,f,g,h,i |
",0.01171875,0.39826393127441406
19,0111111111,1101101101,"| J || B,C,D,E,F,G,H,I |
| ∅ || a,b,d,e,g,h,j |
",0.01953125,0.3185079097747803
20,0111111111,1010101010,"| E || B,C,D,F,G,H,I,J |
| ∅ || a,c,e,g,i |
",0.024414062,0.21972131729125977
21,0111111111,0101010101,"| I || B,C,D,E,F,G,H,J |
| ∅ || b,d,f,h,j |
",0.01171875,0.18825674057006836
22,0111111110,1111111111,"| I || B,C,D,E,F,G,H |
| ∅ || a,b,c,d,e,f,g,h,i,j |
",0.48046875,0.4610555171966553
23,0111111110,1111111110,"| G || B,C,D,E,F,H,I |
| ∅ || a,b,c,d,e,f,g,h,i |
",0.01953125,0.38920021057128906
24,0111111110,0111111111,"| G || B,C,D,E,F,H,I |
| ∅ || b,c,d,e,f,g,h,i,j |
",0.0068359375,0.3382985591888428
25,0111111110,0111111110,"| H || B,C,D,E,F,G,I |
| ∅ || b,c,d,e,f,g,h,i |
",0.01171875,0.25887584686279297
26,0111111110,1101101101,"| C || B,D,E,F,G,H,I |
| ∅ || a,b,d,e,g,h,j |
",0.02734375,0.22872495651245117
27,0111111110,1010101010,"| E || B,C,D,F,G,H,I |
| ∅ || a,c,e,g,i |
",0.024414062,0.14176392555236816
28,0111111110,0101010101,"| I || B,C,D,E,F,G,H |
| ∅ || b,d,f,h,j |
",0.01171875,0.14729905128479004
29,1101101101,1111111111,"| A || B,D,E,G,H,J |
| ∅ || a,b,c,d,e,f,g,h,i,j |
",0.4951172,0.3994617462158203
30,1101101101,1111111110,"| G || A,B,D,E,H,J |
| ∅ || a,b,c,d,e,f,g,h,i |
",0.005859375,0.29217004776000977
31,1101101101,0111111111,"| G || A,B,D,E,H,J |
| ∅ || b,c,d,e,f,g,h,i,j |
",0.01171875,0.31039881706237793
32,1101101101,0111111110,"| H || A,B,D,E,G,J |
| ∅ || b,c,d,e,f,g,h,i |
",0.01171875,0.23081612586975098
33,1101101101,1101101101,"| J || A,B,D,E,G,H |
| ∅ || a,b,d,e,g,h,j |
",0.10546875,0.18085694313049316
34,1101101101,1010101010,"| E || A,B,D,G,H,J |
| ∅ || a,c,e,g,i |
",0.037109375,0.11370229721069336
35,1101101101,0101010101,"| A || B,D,E,G,H,J |
| ∅ || b,d,f,h,j |
",0.025390625,0.11233282089233398
36,1010101010,1111111111,"| I || A,C,E,G |
| ∅ || a,b,c,d,e,f,g,h,i,j |
",0.48046875,0.21808338165283203
37,1010101010,1111111110,"| G || A,C,E,I |
| ∅ || a,b,c,d,e,f,g,h,i |
",0.01953125,0.16742682456970215
38,1010101010,0111111111,"| G || A,C,E,I |
| ∅ || b,c,d,e,f,g,h,i,j |
",0.015625,0.1788938045501709
39,1010101010,0111111110,"| A || C,E,G,I |
| ∅ || b,c,d,e,f,g,h,i |
",0.02734375,0.13741087913513184
40,1010101010,1101101101,"| C || A,E,G,I |
| ∅ || a,b,d,e,g,h,j |
",0.02734375,0.10838103294372559
41,1010101010,1010101010,"| E || A,C,G,I |
| ∅ || a,c,e,g,i |
",0.05078125,0.0788273811340332
42,1010101010,0101010101,"| I || A,C,E,G |
| ∅ || b,d,f,h,j |
",0.01171875,0.06944751739501953
43,0101010101,1111111111,"| J || B,D,F,H |
| ∅ || a,b,c,d,e,f,g,h,i,j |
",0.5,0.21328139305114746
44,0101010101,1111111110,"| J || B,D,F,H |
| ∅ || a,b,c,d,e,f,g,h,i |
",0.5,0.21591687202453613
45,0101010101,0111111111,"| F || B,D,H,J |
| ∅ || b,c,d,e,f,g,h,i,j |
",0.01171875,0.17023253440856934
46,0101010101,0111111110,"| H || B,D,F,J |
| ∅ || b,c,d,e,f,g,h,i |
",0.01171875,0.12399721145629883
47,0101010101,1101101101,"| J || B,D,F,H |
| ∅ || a,b,d,e,g,h,j |
",0.11328125,0.10441136360168457
48,0101010101,1010101010,"| F || B,D,H,J |
| ∅ || a,c,e,g,i |
",0.037109375,0.0578460693359375
49,0101010101,0101010101,"| F || B,D,H,J |
| ∅ || b,d,f,h,j |
",0.025390625,0.053956031799316406
